,Unnamed: 0,ZIPCODE,lat,temp,humidity,cloudiness,STATE,Number of returns,Adjusted gross income (AGI),Avg AGI,Number of returns with total income,Total income amount,Avg total income,Number of returns with taxable income,Taxable income amount,Avg taxable income
487,487,23462,36.84,44.74,100,0.9,VA,31170,1366806,43.85004812,31170,1382013,44.33792108,24620,836606,33.98074736
488,488,23464,36.8,44.74,100,0.9,VA,35720,1921758,53.8006159,35720,1941488,54.35296753,29340,1226224,41.79359237
489,489,23666,37.05,43.57,100,0.9,VA,25500,1150407,45.114,25500,1160868,45.52423529,20310,700987,34.51437715
490,490,98012,47.82,43.81,70,0.75,WA,28120,2297741,81.71198435,28120,2328280,82.79800853,24510,1690590,68.9755202
491,491,98052,47.67,43.88,70,0.75,WA,29820,3581486,120.1034876,29820,3620075,121.397552,26350,2928229,111.12823529999999
492,492,98103,47.67,43.93,70,0.75,WA,28150,2404789,85.42767318,28150,2446479,86.90866785,25220,1904388,75.511023
493,493,98115,47.68,43.88,70,0.75,WA,25370,2555944,100.7467087,25370,2603493,102.6209302,22380,2025368,90.49901698
494,494,98208,47.88,44.01,70,0.75,WA,25160,1570992,62.44006359,25160,1586069,63.03930843,21010,1078052,51.31137554
495,495,99301,46.24,36.39,97,0.01,WA,30210,1510011,49.98381331,30210,1532412,50.72532274,21620,926159,42.838066600000005
496,496,53215,43.01,33.19,100,0.9,WI,26380,770214,29.19689158,26380,774655,29.36523882,16840,330426,19.62149644
